machine,rid,run_id,runtime(ns)
summer,1927,0,103454903
summer,1797,0,12017851
summer,5816,0,7222097280
summer,1968,0,71272259
summer,223,0,106216194
summer,6247,0,79685680
summer,5837,0,7224322658
summer,6961,0,75591870
summer,3655,0,99949950
summer,2820,0,118844172
summer,2857,0,117924376
summer,483,0,89552006
summer,1746,0,75677327
summer,5823,0,7277437899
summer,6552,0,70552807
summer,4619,0,10631200
summer,4680,0,70351043
summer,6059,0,7181368577
summer,5075,0,66728642
summer,6024,0,7318829260
summer,3127,0,74471522
summer,1830,0,91495477
summer,5710,0,90132906
summer,2824,0,12674405
summer,6066,0,7173830709
summer,309,0,6721056282
summer,4874,0,9385722
summer,1345,0,104120595
summer,5984,0,122729680
summer,1338,0,98755619
summer,2017,0,103340120
summer,4917,0,108932087
summer,5389,0,12481455
summer,4236,0,7231155853
summer,795,0,13416135
summer,3141,0,87438162
summer,5776,0,125879086
summer,3730,0,71837698
summer,5858,0,7096820367
summer,4832,0,7208817385
summer,5293,0,7442725211
summer,6562,0,7360841110
summer,3508,0,71981052
summer,4299,0,112372509
summer,3511,0,7240039595
summer,3056,0,7260754212
summer,1979,0,100900350
summer,6740,0,83437927
summer,6017,0,7160991070
summer,6899,0,134225050
saphir,3141,0,58559188
saphir,3791,0,61753441
saphir,2117,0,2902045042
saphir,2550,0,2875224567
saphir,1036,0,19672323
saphir,5491,0,52119540
saphir,5858,0,2795099934
saphir,5955,0,2838189614
saphir,857,0,2877261513
saphir,4187,0,2864627687
saphir,5776,0,81045675
saphir,2055,0,19191854
saphir,3730,0,58377360
saphir,6405,0,2828916460
saphir,4236,0,2789767142
saphir,2179,0,62661653
saphir,5389,0,17329444
saphir,6100,0,2848332365
saphir,2036,0,63455965
saphir,4917,0,58760566
saphir,901,0,62937290
saphir,6217,0,55658031
saphir,4874,0,14703558
saphir,1747,0,58840853
saphir,2017,0,67897679
saphir,5984,0,71551224
saphir,1345,0,56421326
saphir,1338,0,55122527
saphir,2260,0,70683040
saphir,4782,0,57706750
saphir,3643,0,2926482382
saphir,6017,0,2827663692
saphir,4313,0,74225208
saphir,6899,0,81592708
saphir,590,0,63267531
saphir,3056,0,2835515418
saphir,1325,0,59879568
saphir,1358,0,56274127
saphir,1979,0,54487730
saphir,223,0,57620081
saphir,6740,0,48965572
saphir,4439,0,60781357
saphir,4299,0,68435409
saphir,150,0,51645460
saphir,483,0,56827392
saphir,3511,0,2873718966
saphir,872,0,54030328
saphir,3612,0,20001099
saphir,7117,0,50695209
saphir,1585,0,62472448
saphir,6900,0,57811032
saphir,3508,0,57877484
saphir,4688,0,56966935
saphir,6562,0,2863544470
saphir,4832,0,2796943601
saphir,5293,0,2880227823
saphir,1746,0,62285326
saphir,5823,0,2816841433
saphir,6552,0,61532025
saphir,4619,0,14492552
saphir,4680,0,58891398
saphir,2857,0,72367311
saphir,2820,0,61448647
saphir,3655,0,54233481
saphir,3451,0,63133776
saphir,2175,0,63565600
saphir,2736,0,61957583
saphir,6247,0,62866519
saphir,5837,0,2807609797
saphir,6961,0,63698438
saphir,1797,0,17195208
saphir,5816,0,2824169949
saphir,1927,0,66679490
saphir,6613,0,2845036942
saphir,2250,0,59953213
saphir,6891,0,2778922595
saphir,1968,0,55990761
saphir,6066,0,2806482244
saphir,6767,0,51218440
saphir,309,0,2785598125
saphir,1853,0,63198048
saphir,6438,0,20104230
saphir,3905,0,63787558
saphir,1311,0,19797682
saphir,5327,0,61870283
saphir,2144,0,61705800
saphir,5995,0,60360408
saphir,1830,0,62516795
saphir,3127,0,61831881
saphir,1714,0,63851088
saphir,5806,0,2893115522
saphir,4815,0,2893652071
saphir,4548,0,52167890
saphir,5710,0,50459145
saphir,2824,0,17898548
saphir,4376,0,18797804
saphir,6059,0,2804587218
saphir,5075,0,66457441
saphir,6024,0,2828326509
saphir,795,0,19364221
