machine,rid,actual_runtime,predicted_runtime,prediction_error,total_regions,total_selected_regions,average_runtime
summer,2055,12570122794395.0,-1,-1,7186,50,
summer,5995,12570122794395.0,-1,-1,7186,50,
summer,4815,12570122794395.0,-1,-1,7186,50,
summer,872,12570122794395.0,-1,-1,7186,50,
summer,1036,12570122794395.0,-1,-1,7186,50,
summer,1853,12570122794395.0,-1,-1,7186,50,
summer,150,12570122794395.0,-1,-1,7186,50,
summer,2036,12570122794395.0,-1,-1,7186,50,
summer,901,12570122794395.0,-1,-1,7186,50,
summer,3451,12570122794395.0,-1,-1,7186,50,
summer,1325,12570122794395.0,-1,-1,7186,50,
summer,1714,12570122794395.0,-1,-1,7186,50,
summer,5327,12570122794395.0,-1,-1,7186,50,
summer,4187,12570122794395.0,-1,-1,7186,50,
summer,4376,12570122794395.0,-1,-1,7186,50,
summer,3643,12570122794395.0,-1,-1,7186,50,
summer,4548,12570122794395.0,-1,-1,7186,50,
summer,5806,12570122794395.0,-1,-1,7186,50,
summer,1585,12570122794395.0,-1,-1,7186,50,
summer,6900,12570122794395.0,-1,-1,7186,50,
summer,2736,12570122794395.0,-1,-1,7186,50,
summer,2144,12570122794395.0,-1,-1,7186,50,
summer,6613,12570122794395.0,-1,-1,7186,50,
summer,6100,12570122794395.0,-1,-1,7186,50,
summer,1358,12570122794395.0,-1,-1,7186,50,
summer,1311,12570122794395.0,-1,-1,7186,50,
summer,2175,12570122794395.0,-1,-1,7186,50,
summer,5955,12570122794395.0,-1,-1,7186,50,
summer,2260,12570122794395.0,-1,-1,7186,50,
summer,5491,12570122794395.0,-1,-1,7186,50,
summer,590,12570122794395.0,-1,-1,7186,50,
summer,857,12570122794395.0,-1,-1,7186,50,
summer,6767,12570122794395.0,-1,-1,7186,50,
summer,3905,12570122794395.0,-1,-1,7186,50,
summer,4688,12570122794395.0,-1,-1,7186,50,
summer,6405,12570122794395.0,-1,-1,7186,50,
summer,2550,12570122794395.0,-1,-1,7186,50,
summer,6217,12570122794395.0,-1,-1,7186,50,
summer,6438,12570122794395.0,-1,-1,7186,50,
summer,3791,12570122794395.0,-1,-1,7186,50,
summer,6891,12570122794395.0,-1,-1,7186,50,
summer,2250,12570122794395.0,-1,-1,7186,50,
summer,2179,12570122794395.0,-1,-1,7186,50,
summer,4313,12570122794395.0,-1,-1,7186,50,
summer,3612,12570122794395.0,-1,-1,7186,50,
summer,4439,12570122794395.0,-1,-1,7186,50,
summer,1747,12570122794395.0,-1,-1,7186,50,
summer,7117,12570122794395.0,-1,-1,7186,50,
summer,4782,12570122794395.0,-1,-1,7186,50,
summer,2117,12570122794395.0,-1,-1,7186,50,
summer,-1,12570122794395.0,,,7186,50,-1
saphir,2055,5322398289866.0,-1,-1,7186,50,19191854.0
saphir,5995,5322398289866.0,-1,-1,7186,50,60360408.0
saphir,4815,5322398289866.0,-1,-1,7186,50,2893652071.0
saphir,872,5322398289866.0,-1,-1,7186,50,54030328.0
saphir,1036,5322398289866.0,-1,-1,7186,50,19672323.0
saphir,1853,5322398289866.0,-1,-1,7186,50,63198048.0
saphir,150,5322398289866.0,-1,-1,7186,50,51645460.0
saphir,2036,5322398289866.0,-1,-1,7186,50,63455965.0
saphir,901,5322398289866.0,-1,-1,7186,50,62937290.0
saphir,3451,5322398289866.0,-1,-1,7186,50,63133776.0
saphir,1325,5322398289866.0,-1,-1,7186,50,59879568.0
saphir,1714,5322398289866.0,-1,-1,7186,50,63851088.0
saphir,5327,5322398289866.0,-1,-1,7186,50,61870283.0
saphir,4187,5322398289866.0,-1,-1,7186,50,2864627687.0
saphir,4376,5322398289866.0,-1,-1,7186,50,18797804.0
saphir,3643,5322398289866.0,-1,-1,7186,50,2926482382.0
saphir,4548,5322398289866.0,-1,-1,7186,50,52167890.0
saphir,5806,5322398289866.0,-1,-1,7186,50,2893115522.0
saphir,1585,5322398289866.0,-1,-1,7186,50,62472448.0
saphir,6900,5322398289866.0,-1,-1,7186,50,57811032.0
saphir,2736,5322398289866.0,-1,-1,7186,50,61957583.0
saphir,2144,5322398289866.0,-1,-1,7186,50,61705800.0
saphir,6613,5322398289866.0,-1,-1,7186,50,2845036942.0
saphir,6100,5322398289866.0,-1,-1,7186,50,2848332365.0
saphir,1358,5322398289866.0,-1,-1,7186,50,56274127.0
saphir,1311,5322398289866.0,-1,-1,7186,50,19797682.0
saphir,2175,5322398289866.0,-1,-1,7186,50,63565600.0
saphir,5955,5322398289866.0,-1,-1,7186,50,2838189614.0
saphir,2260,5322398289866.0,-1,-1,7186,50,70683040.0
saphir,5491,5322398289866.0,-1,-1,7186,50,52119540.0
saphir,590,5322398289866.0,-1,-1,7186,50,63267531.0
saphir,857,5322398289866.0,-1,-1,7186,50,2877261513.0
saphir,6767,5322398289866.0,-1,-1,7186,50,51218440.0
saphir,3905,5322398289866.0,-1,-1,7186,50,63787558.0
saphir,4688,5322398289866.0,-1,-1,7186,50,56966935.0
saphir,6405,5322398289866.0,-1,-1,7186,50,2828916460.0
saphir,2550,5322398289866.0,-1,-1,7186,50,2875224567.0
saphir,6217,5322398289866.0,-1,-1,7186,50,55658031.0
saphir,6438,5322398289866.0,-1,-1,7186,50,20104230.0
saphir,3791,5322398289866.0,-1,-1,7186,50,61753441.0
saphir,6891,5322398289866.0,-1,-1,7186,50,2778922595.0
saphir,2250,5322398289866.0,-1,-1,7186,50,59953213.0
saphir,2179,5322398289866.0,-1,-1,7186,50,62661653.0
saphir,4313,5322398289866.0,-1,-1,7186,50,74225208.0
saphir,3612,5322398289866.0,-1,-1,7186,50,20001099.0
saphir,4439,5322398289866.0,-1,-1,7186,50,60781357.0
saphir,1747,5322398289866.0,-1,-1,7186,50,58840853.0
saphir,7117,5322398289866.0,-1,-1,7186,50,50695209.0
saphir,4782,5322398289866.0,-1,-1,7186,50,57706750.0
saphir,2117,5322398289866.0,-1,-1,7186,50,2902045042.0
saphir,-1,5322398289866.0,5232846235502.601,-1.6825507879391348,7186,50,-1
