region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
28,26,27,11963.0,415,11963.0,15,11999.0,11621
58,56,57,11494.0,43902,11494.0,2605,10124.0,2
80,78,79,10124.0,51,10507.0,5830434,10542.0,32
280,278,279,12021.0,749530,11999.0,11594,10507.0,5479636
293,291,292,10542.0,5345,10081.0,3,10507.0,2235304
313,311,312,10542.0,5825,10085.0,3,10507.0,4511653
333,331,332,10542.0,6304,10080.0,6,11494.0,71
340,338,339,10542.0,6475,10123.0,27,10542.0,14
366,364,365,10542.0,7092,10124.0,3,10507.0,5825550
855,853,854,10110.0,5152,10507.0,5311781,10542.0,31
1068,1066,1067,10542.0,21300,10110.0,2,10507.0,706038
1120,1118,1119,10542.0,22533,10529.0,34,10081.0,2
1302,1300,1301,10542.0,26035,10529.0,34,10072.0,15
1339,1337,1338,11494.0,2055874,10507.0,1131852,10542.0,21
1381,1379,1380,10542.0,27919,10529.0,34,10102.0,22
1482,1480,1481,10123.0,6122,13587.0,2,13551.0,32
1831,1829,1830,10081.0,3735,10507.0,4351240,10542.0,29
2018,2016,2017,10542.0,40593,10123.0,14,10542.0,3
2271,2269,2270,11494.0,3497793,11494.0,2599,10085.0,6
2391,2389,2390,10542.0,48656,10124.0,5,11494.0,658
2598,2596,2597,10542.0,52747,10123.0,6,10507.0,2942887
2670,2668,2669,11494.0,4160996,11494.0,2596,10072.0,6
3214,3212,3213,13586.0,297,13410.0,4,11902.0,1
3508,3506,3507,10080.0,7187,9661.0,2,11494.0,1418
3706,3704,3705,10542.0,75828,10124.0,4,13424.0,7
3741,3739,3740,12021.0,6122494,11999.0,11586,10507.0,2166288
3801,3799,3800,11494.0,5902410,10072.0,10,10542.0,6
3886,3884,3885,10542.0,79272,10529.0,34,10085.0,5
3933,3931,3932,10542.0,80402,10123.0,10,10507.0,5151095
4095,4093,4094,10289.0,25307,10507.0,3810134,11494.0,2108
4202,4200,4201,7224.0,65,13412.0,2,12003.0,3
4292,4290,4291,10542.0,87272,10507.0,4813738,10542.0,30
4556,4554,4555,10123.0,18759,10507.0,3268955,10542.0,26
4602,4600,4601,7729.0,594,10085.0,8,10542.0,16
4835,4833,4834,11494.0,7530763,10124.0,1,10507.0,1468810
4867,4865,4866,10542.0,99317,10529.0,34,10110.0,1
4907,4905,4906,10542.0,100276,10529.0,34,10123.0,10
4941,4939,4940,10542.0,101098,10008.0,1,13417.0,1
4983,4981,4982,10542.0,101255,10124.0,2,10507.0,3698748
4999,4997,4998,11494.0,7763797,11494.0,2604,10507.0,3700264
5385,5383,5384,10542.0,109990,10529.0,34,10507.0,4792253
5678,5676,5677,10542.0,116141,10529.0,34,5562.0,1
5965,5963,5964,12003.0,9584,11963.0,16,11494.0,671
6574,6572,6573,10542.0,134167,10529.0,34,10507.0,6103930
6650,6648,6649,11494.0,10391144,11494.0,2601,10085.0,7
6782,6780,6781,10542.0,138300,10507.0,2111351,11494.0,1800
6845,6843,6844,10542.0,139825,10124.0,6,10542.0,11
6854,6852,6853,10542.0,140012,10529.0,34,10507.0,5712935
6920,6918,6919,4904.0,28,13412.0,2,4973.0,1
